country,CO2_transport_capita
United States,5.327865713692459
Canada,4.2638834403678345
Australia,3.1746105851566853
New Zealand,2.2683872420594495
Sweden,1.9857540822850064
Iceland,1.9826779471597986
Denmark,1.7757312152437081
Switzerland,1.6844079382605888
Belgium,1.671193813664401
France,1.5729231511494794
Japan,1.3383326641110522
Spain,1.3316511074910253
Greece,1.0675858450765374
Portugal,0.8533759397070031
Poland,0.757720728342989
